Client Count CSCI B-03
Generated: 2015-Nov-13, 12:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Fri Nov 13 11:34:13 GMT+00:00 2015,22,22
total,Fri Nov 13 11:39:25 GMT+00:00 2015,21,21
total,Fri Nov 13 11:44:06 GMT+00:00 2015,19,19
total,Fri Nov 13 11:49:20 GMT+00:00 2015,20,20
total,Fri Nov 13 11:54:36 GMT+00:00 2015,22,22
total,Fri Nov 13 12:00:04 GMT+00:00 2015,30,30
total,Fri Nov 13 12:04:58 GMT+00:00 2015,24,23
total,Fri Nov 13 12:09:51 GMT+00:00 2015,22,21
total,Fri Nov 13 12:14:44 GMT+00:00 2015,22,21
total,Fri Nov 13 12:19:41 GMT+00:00 2015,24,24
total,Fri Nov 13 12:25:21 GMT+00:00 2015,27,27
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Fri Nov 13 11:34:13 GMT+00:00 2015,22,22
Belfield > Computer Science > B-003,Fri Nov 13 11:39:25 GMT+00:00 2015,21,21
Belfield > Computer Science > B-003,Fri Nov 13 11:44:06 GMT+00:00 2015,19,19
Belfield > Computer Science > B-003,Fri Nov 13 11:49:20 GMT+00:00 2015,20,20
Belfield > Computer Science > B-003,Fri Nov 13 11:54:36 GMT+00:00 2015,22,22
Belfield > Computer Science > B-003,Fri Nov 13 12:00:04 GMT+00:00 2015,30,30
Belfield > Computer Science > B-003,Fri Nov 13 12:04:58 GMT+00:00 2015,24,23
Belfield > Computer Science > B-003,Fri Nov 13 12:09:51 GMT+00:00 2015,22,21
Belfield > Computer Science > B-003,Fri Nov 13 12:14:44 GMT+00:00 2015,22,21
Belfield > Computer Science > B-003,Fri Nov 13 12:19:41 GMT+00:00 2015,24,24
Belfield > Computer Science > B-003,Fri Nov 13 12:25:21 GMT+00:00 2015,27,27
