Client Count CSCI B-04
Generated: 2015-Nov-04, 13:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Wed Nov 04 12:31:57 GMT+00:00 2015,66,66
total,Wed Nov 04 12:35:30 GMT+00:00 2015,71,71
total,Wed Nov 04 12:40:40 GMT+00:00 2015,70,70
total,Wed Nov 04 12:45:53 GMT+00:00 2015,74,74
total,Wed Nov 04 12:51:28 GMT+00:00 2015,37,37
total,Wed Nov 04 12:57:06 GMT+00:00 2015,20,20
total,Wed Nov 04 13:02:27 GMT+00:00 2015,19,19
total,Wed Nov 04 13:07:41 GMT+00:00 2015,17,17
total,Wed Nov 04 13:11:43 GMT+00:00 2015,17,16
total,Wed Nov 04 13:16:29 GMT+00:00 2015,17,17
total,Wed Nov 04 13:21:30 GMT+00:00 2015,16,16
total,Wed Nov 04 13:26:32 GMT+00:00 2015,17,17
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Wed Nov 04 12:31:57 GMT+00:00 2015,66,66
Belfield > Computer Science > B-004,Wed Nov 04 12:35:30 GMT+00:00 2015,71,71
Belfield > Computer Science > B-004,Wed Nov 04 12:40:40 GMT+00:00 2015,70,70
Belfield > Computer Science > B-004,Wed Nov 04 12:45:53 GMT+00:00 2015,74,74
Belfield > Computer Science > B-004,Wed Nov 04 12:51:28 GMT+00:00 2015,37,37
Belfield > Computer Science > B-004,Wed Nov 04 12:57:06 GMT+00:00 2015,20,20
Belfield > Computer Science > B-004,Wed Nov 04 13:02:27 GMT+00:00 2015,19,19
Belfield > Computer Science > B-004,Wed Nov 04 13:07:41 GMT+00:00 2015,17,17
Belfield > Computer Science > B-004,Wed Nov 04 13:11:43 GMT+00:00 2015,17,16
Belfield > Computer Science > B-004,Wed Nov 04 13:16:29 GMT+00:00 2015,17,17
Belfield > Computer Science > B-004,Wed Nov 04 13:21:30 GMT+00:00 2015,16,16
Belfield > Computer Science > B-004,Wed Nov 04 13:26:32 GMT+00:00 2015,17,17
