Client Count CSCI B-02
Generated: 2015-Nov-16, 12:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Mon Nov 16 11:30:12 GMT+00:00 2015,9,9
total,Mon Nov 16 11:37:01 GMT+00:00 2015,8,8
total,Mon Nov 16 11:41:16 GMT+00:00 2015,8,8
total,Mon Nov 16 11:46:55 GMT+00:00 2015,9,9
total,Mon Nov 16 11:52:06 GMT+00:00 2015,8,8
total,Mon Nov 16 11:57:38 GMT+00:00 2015,12,12
total,Mon Nov 16 12:02:49 GMT+00:00 2015,12,12
total,Mon Nov 16 12:07:30 GMT+00:00 2015,12,12
total,Mon Nov 16 12:12:22 GMT+00:00 2015,13,13
total,Mon Nov 16 12:17:14 GMT+00:00 2015,14,14
total,Mon Nov 16 12:23:41 GMT+00:00 2015,16,16
total,Mon Nov 16 12:27:28 GMT+00:00 2015,19,19
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Mon Nov 16 11:30:12 GMT+00:00 2015,9,9
Belfield > Computer Science > B-002,Mon Nov 16 11:37:01 GMT+00:00 2015,8,8
Belfield > Computer Science > B-002,Mon Nov 16 11:41:16 GMT+00:00 2015,8,8
Belfield > Computer Science > B-002,Mon Nov 16 11:46:55 GMT+00:00 2015,9,9
Belfield > Computer Science > B-002,Mon Nov 16 11:52:06 GMT+00:00 2015,8,8
Belfield > Computer Science > B-002,Mon Nov 16 11:57:38 GMT+00:00 2015,12,12
Belfield > Computer Science > B-002,Mon Nov 16 12:02:49 GMT+00:00 2015,12,12
Belfield > Computer Science > B-002,Mon Nov 16 12:07:30 GMT+00:00 2015,12,12
Belfield > Computer Science > B-002,Mon Nov 16 12:12:22 GMT+00:00 2015,13,13
Belfield > Computer Science > B-002,Mon Nov 16 12:17:14 GMT+00:00 2015,14,14
Belfield > Computer Science > B-002,Mon Nov 16 12:23:41 GMT+00:00 2015,16,16
Belfield > Computer Science > B-002,Mon Nov 16 12:27:28 GMT+00:00 2015,19,19
