Client Count CSCI B-02
Generated: 2015-Nov-04, 16:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Wed Nov 04 15:33:45 GMT+00:00 2015,5,5
total,Wed Nov 04 15:38:49 GMT+00:00 2015,6,6
total,Wed Nov 04 15:44:02 GMT+00:00 2015,7,7
total,Wed Nov 04 15:49:14 GMT+00:00 2015,6,6
total,Wed Nov 04 15:54:50 GMT+00:00 2015,6,6
total,Wed Nov 04 16:00:14 GMT+00:00 2015,9,9
total,Wed Nov 04 16:05:38 GMT+00:00 2015,9,9
total,Wed Nov 04 16:09:51 GMT+00:00 2015,15,14
total,Wed Nov 04 16:14:42 GMT+00:00 2015,15,15
total,Wed Nov 04 16:19:34 GMT+00:00 2015,19,19
total,Wed Nov 04 16:24:29 GMT+00:00 2015,19,19
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Wed Nov 04 15:33:45 GMT+00:00 2015,5,5
Belfield > Computer Science > B-002,Wed Nov 04 15:38:49 GMT+00:00 2015,6,6
Belfield > Computer Science > B-002,Wed Nov 04 15:44:02 GMT+00:00 2015,7,7
Belfield > Computer Science > B-002,Wed Nov 04 15:49:14 GMT+00:00 2015,6,6
Belfield > Computer Science > B-002,Wed Nov 04 15:54:50 GMT+00:00 2015,6,6
Belfield > Computer Science > B-002,Wed Nov 04 16:00:14 GMT+00:00 2015,9,9
Belfield > Computer Science > B-002,Wed Nov 04 16:05:38 GMT+00:00 2015,9,9
Belfield > Computer Science > B-002,Wed Nov 04 16:09:51 GMT+00:00 2015,15,14
Belfield > Computer Science > B-002,Wed Nov 04 16:14:42 GMT+00:00 2015,15,15
Belfield > Computer Science > B-002,Wed Nov 04 16:19:34 GMT+00:00 2015,19,19
Belfield > Computer Science > B-002,Wed Nov 04 16:24:29 GMT+00:00 2015,19,19
