Client Count CSCI B-04
Generated: 2015-Nov-04, 16:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Wed Nov 04 15:33:45 GMT+00:00 2015,1,1
total,Wed Nov 04 15:38:49 GMT+00:00 2015,1,1
total,Wed Nov 04 15:44:02 GMT+00:00 2015,1,1
total,Wed Nov 04 15:49:14 GMT+00:00 2015,1,1
total,Wed Nov 04 15:54:50 GMT+00:00 2015,2,2
total,Wed Nov 04 16:00:14 GMT+00:00 2015,2,2
total,Wed Nov 04 16:05:38 GMT+00:00 2015,1,1
total,Wed Nov 04 16:09:51 GMT+00:00 2015,0,0
total,Wed Nov 04 16:14:42 GMT+00:00 2015,0,0
total,Wed Nov 04 16:19:34 GMT+00:00 2015,1,1
total,Wed Nov 04 16:24:29 GMT+00:00 2015,1,1
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Wed Nov 04 15:33:45 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 04 15:38:49 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 04 15:44:02 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 04 15:49:14 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 04 15:54:50 GMT+00:00 2015,2,2
Belfield > Computer Science > B-004,Wed Nov 04 16:00:14 GMT+00:00 2015,2,2
Belfield > Computer Science > B-004,Wed Nov 04 16:05:38 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 04 16:09:51 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 04 16:14:42 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 04 16:19:34 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 04 16:24:29 GMT+00:00 2015,1,1
