Client Count CSCI B-04
Generated: 2015-Nov-12, 02:30:04 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Thu Nov 12 01:30:55 GMT+00:00 2015,0,0
total,Thu Nov 12 01:35:56 GMT+00:00 2015,0,0
total,Thu Nov 12 01:41:39 GMT+00:00 2015,0,0
total,Thu Nov 12 01:46:00 GMT+00:00 2015,0,0
total,Thu Nov 12 01:51:02 GMT+00:00 2015,0,0
total,Thu Nov 12 01:56:04 GMT+00:00 2015,0,0
total,Thu Nov 12 02:01:03 GMT+00:00 2015,0,0
total,Thu Nov 12 02:06:15 GMT+00:00 2015,0,0
total,Thu Nov 12 02:11:07 GMT+00:00 2015,0,0
total,Thu Nov 12 02:16:22 GMT+00:00 2015,0,0
total,Thu Nov 12 02:21:06 GMT+00:00 2015,0,0
total,Thu Nov 12 02:26:18 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Thu Nov 12 01:30:55 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 01:35:56 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 01:41:39 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 01:46:00 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 01:51:02 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 01:56:04 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 02:01:03 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 02:06:15 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 02:11:07 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 02:16:22 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 02:21:06 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 02:26:18 GMT+00:00 2015,0,0
