Client Count CSCI B-02
Generated: 2015-Nov-06, 11:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Fri Nov 06 10:31:52 GMT+00:00 2015,2,2
total,Fri Nov 06 10:36:10 GMT+00:00 2015,2,2
total,Fri Nov 06 10:42:39 GMT+00:00 2015,6,6
total,Fri Nov 06 10:47:16 GMT+00:00 2015,8,8
total,Fri Nov 06 10:52:31 GMT+00:00 2015,11,11
total,Fri Nov 06 10:58:23 GMT+00:00 2015,16,16
total,Fri Nov 06 11:03:39 GMT+00:00 2015,16,16
total,Fri Nov 06 11:08:05 GMT+00:00 2015,15,15
total,Fri Nov 06 11:12:53 GMT+00:00 2015,16,16
total,Fri Nov 06 11:17:44 GMT+00:00 2015,13,13
total,Fri Nov 06 11:22:41 GMT+00:00 2015,18,18
total,Fri Nov 06 11:27:55 GMT+00:00 2015,20,20
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Fri Nov 06 10:31:52 GMT+00:00 2015,2,2
Belfield > Computer Science > B-002,Fri Nov 06 10:36:10 GMT+00:00 2015,2,2
Belfield > Computer Science > B-002,Fri Nov 06 10:42:39 GMT+00:00 2015,6,6
Belfield > Computer Science > B-002,Fri Nov 06 10:47:16 GMT+00:00 2015,8,8
Belfield > Computer Science > B-002,Fri Nov 06 10:52:31 GMT+00:00 2015,11,11
Belfield > Computer Science > B-002,Fri Nov 06 10:58:23 GMT+00:00 2015,16,16
Belfield > Computer Science > B-002,Fri Nov 06 11:03:39 GMT+00:00 2015,16,16
Belfield > Computer Science > B-002,Fri Nov 06 11:08:05 GMT+00:00 2015,15,15
Belfield > Computer Science > B-002,Fri Nov 06 11:12:53 GMT+00:00 2015,16,16
Belfield > Computer Science > B-002,Fri Nov 06 11:17:44 GMT+00:00 2015,13,13
Belfield > Computer Science > B-002,Fri Nov 06 11:22:41 GMT+00:00 2015,18,18
Belfield > Computer Science > B-002,Fri Nov 06 11:27:55 GMT+00:00 2015,20,20
