Client Count CSCI B-02
Generated: 2015-Nov-09, 18:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Mon Nov 09 17:32:17 GMT+00:00 2015,55,55
total,Mon Nov 09 17:37:15 GMT+00:00 2015,59,59
total,Mon Nov 09 17:42:12 GMT+00:00 2015,59,58
total,Mon Nov 09 17:47:14 GMT+00:00 2015,42,42
total,Mon Nov 09 17:52:21 GMT+00:00 2015,40,40
total,Mon Nov 09 17:57:27 GMT+00:00 2015,35,35
total,Mon Nov 09 18:02:41 GMT+00:00 2015,30,30
total,Mon Nov 09 18:07:34 GMT+00:00 2015,29,29
total,Mon Nov 09 18:12:29 GMT+00:00 2015,27,27
total,Mon Nov 09 18:17:22 GMT+00:00 2015,21,21
total,Mon Nov 09 18:22:26 GMT+00:00 2015,13,13
total,Mon Nov 09 18:27:28 GMT+00:00 2015,5,5
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Mon Nov 09 17:32:17 GMT+00:00 2015,55,55
Belfield > Computer Science > B-002,Mon Nov 09 17:37:15 GMT+00:00 2015,59,59
Belfield > Computer Science > B-002,Mon Nov 09 17:42:12 GMT+00:00 2015,59,58
Belfield > Computer Science > B-002,Mon Nov 09 17:47:14 GMT+00:00 2015,42,42
Belfield > Computer Science > B-002,Mon Nov 09 17:52:21 GMT+00:00 2015,40,40
Belfield > Computer Science > B-002,Mon Nov 09 17:57:27 GMT+00:00 2015,35,35
Belfield > Computer Science > B-002,Mon Nov 09 18:02:41 GMT+00:00 2015,30,30
Belfield > Computer Science > B-002,Mon Nov 09 18:07:34 GMT+00:00 2015,29,29
Belfield > Computer Science > B-002,Mon Nov 09 18:12:29 GMT+00:00 2015,27,27
Belfield > Computer Science > B-002,Mon Nov 09 18:17:22 GMT+00:00 2015,21,21
Belfield > Computer Science > B-002,Mon Nov 09 18:22:26 GMT+00:00 2015,13,13
Belfield > Computer Science > B-002,Mon Nov 09 18:27:28 GMT+00:00 2015,5,5
