Client Count CSCI B-02
Generated: 2015-Nov-03, 23:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Tue Nov 03 22:32:45 GMT+00:00 2015,0,0
total,Tue Nov 03 22:37:38 GMT+00:00 2015,0,0
total,Tue Nov 03 22:42:58 GMT+00:00 2015,0,0
total,Tue Nov 03 22:47:55 GMT+00:00 2015,0,0
total,Tue Nov 03 22:52:54 GMT+00:00 2015,0,0
total,Tue Nov 03 22:57:56 GMT+00:00 2015,0,0
total,Tue Nov 03 23:02:58 GMT+00:00 2015,0,0
total,Tue Nov 03 23:07:53 GMT+00:00 2015,0,0
total,Tue Nov 03 23:12:53 GMT+00:00 2015,0,0
total,Tue Nov 03 23:17:50 GMT+00:00 2015,0,0
total,Tue Nov 03 23:22:55 GMT+00:00 2015,0,0
total,Tue Nov 03 23:28:00 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Tue Nov 03 22:32:45 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 22:37:38 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 22:42:58 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 22:47:55 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 22:52:54 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 22:57:56 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 23:02:58 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 23:07:53 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 23:12:53 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 23:17:50 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 23:22:55 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Tue Nov 03 23:28:00 GMT+00:00 2015,0,0
