Client Count CSCI B-03
Generated: 2015-Nov-14, 22:30:02 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Sat Nov 14 21:34:08 GMT+00:00 2015,0,0
total,Sat Nov 14 21:39:07 GMT+00:00 2015,0,0
total,Sat Nov 14 21:44:09 GMT+00:00 2015,0,0
total,Sat Nov 14 21:49:09 GMT+00:00 2015,0,0
total,Sat Nov 14 21:54:11 GMT+00:00 2015,0,0
total,Sat Nov 14 21:59:12 GMT+00:00 2015,0,0
total,Sat Nov 14 22:04:13 GMT+00:00 2015,0,0
total,Sat Nov 14 22:09:14 GMT+00:00 2015,0,0
total,Sat Nov 14 22:14:17 GMT+00:00 2015,0,0
total,Sat Nov 14 22:17:39 GMT+00:00 2015,0,0
total,Sat Nov 14 22:24:19 GMT+00:00 2015,0,0
total,Sat Nov 14 22:29:21 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Sat Nov 14 21:34:08 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 21:39:07 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 21:44:09 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 21:49:09 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 21:54:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 21:59:12 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 22:04:13 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 22:09:14 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 22:14:17 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 22:17:39 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 22:24:19 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Sat Nov 14 22:29:21 GMT+00:00 2015,0,0
