Client Count CSCI B-03
Generated: 2015-Nov-09, 12:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Mon Nov 09 11:30:54 GMT+00:00 2015,35,35
total,Mon Nov 09 11:36:00 GMT+00:00 2015,39,39
total,Mon Nov 09 11:41:01 GMT+00:00 2015,42,42
total,Mon Nov 09 11:46:21 GMT+00:00 2015,47,47
total,Mon Nov 09 11:51:42 GMT+00:00 2015,52,52
total,Mon Nov 09 11:57:25 GMT+00:00 2015,62,61
total,Mon Nov 09 12:02:43 GMT+00:00 2015,51,51
total,Mon Nov 09 12:07:29 GMT+00:00 2015,57,57
total,Mon Nov 09 12:12:10 GMT+00:00 2015,55,55
total,Mon Nov 09 12:17:04 GMT+00:00 2015,56,56
total,Mon Nov 09 12:22:23 GMT+00:00 2015,59,59
total,Mon Nov 09 12:27:15 GMT+00:00 2015,45,45
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Mon Nov 09 11:30:54 GMT+00:00 2015,35,35
Belfield > Computer Science > B-003,Mon Nov 09 11:36:00 GMT+00:00 2015,39,39
Belfield > Computer Science > B-003,Mon Nov 09 11:41:01 GMT+00:00 2015,42,42
Belfield > Computer Science > B-003,Mon Nov 09 11:46:21 GMT+00:00 2015,47,47
Belfield > Computer Science > B-003,Mon Nov 09 11:51:42 GMT+00:00 2015,52,52
Belfield > Computer Science > B-003,Mon Nov 09 11:57:25 GMT+00:00 2015,62,61
Belfield > Computer Science > B-003,Mon Nov 09 12:02:43 GMT+00:00 2015,51,51
Belfield > Computer Science > B-003,Mon Nov 09 12:07:29 GMT+00:00 2015,57,57
Belfield > Computer Science > B-003,Mon Nov 09 12:12:10 GMT+00:00 2015,55,55
Belfield > Computer Science > B-003,Mon Nov 09 12:17:04 GMT+00:00 2015,56,56
Belfield > Computer Science > B-003,Mon Nov 09 12:22:23 GMT+00:00 2015,59,59
Belfield > Computer Science > B-003,Mon Nov 09 12:27:15 GMT+00:00 2015,45,45
