Client Count CSCI B-02
Generated: 2015-Nov-09, 02:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Mon Nov 09 01:30:19 GMT+00:00 2015,0,0
total,Mon Nov 09 01:35:20 GMT+00:00 2015,0,0
total,Mon Nov 09 01:40:25 GMT+00:00 2015,0,0
total,Mon Nov 09 01:45:20 GMT+00:00 2015,0,0
total,Mon Nov 09 01:50:22 GMT+00:00 2015,0,0
total,Mon Nov 09 01:55:22 GMT+00:00 2015,0,0
total,Mon Nov 09 02:00:23 GMT+00:00 2015,0,0
total,Mon Nov 09 02:05:41 GMT+00:00 2015,0,0
total,Mon Nov 09 02:10:31 GMT+00:00 2015,0,0
total,Mon Nov 09 02:15:27 GMT+00:00 2015,0,0
total,Mon Nov 09 02:20:28 GMT+00:00 2015,0,0
total,Mon Nov 09 02:25:30 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Mon Nov 09 01:30:19 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 01:35:20 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 01:40:25 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 01:45:20 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 01:50:22 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 01:55:22 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 02:00:23 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 02:05:41 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 02:10:31 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 02:15:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 02:20:28 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Mon Nov 09 02:25:30 GMT+00:00 2015,0,0
