Client Count CSCI B-02
Generated: 2015-Nov-07, 14:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Sat Nov 07 13:32:50 GMT+00:00 2015,0,0
total,Sat Nov 07 13:37:39 GMT+00:00 2015,0,0
total,Sat Nov 07 13:42:35 GMT+00:00 2015,0,0
total,Sat Nov 07 13:47:42 GMT+00:00 2015,0,0
total,Sat Nov 07 13:52:45 GMT+00:00 2015,0,0
total,Sat Nov 07 13:57:56 GMT+00:00 2015,0,0
total,Sat Nov 07 14:03:07 GMT+00:00 2015,0,0
total,Sat Nov 07 14:08:02 GMT+00:00 2015,0,0
total,Sat Nov 07 14:13:00 GMT+00:00 2015,0,0
total,Sat Nov 07 14:17:58 GMT+00:00 2015,0,0
total,Sat Nov 07 14:23:01 GMT+00:00 2015,0,0
total,Sat Nov 07 14:28:07 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Sat Nov 07 13:32:50 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 13:37:39 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 13:42:35 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 13:47:42 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 13:52:45 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 13:57:56 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 14:03:07 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 14:08:02 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 14:13:00 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 14:17:58 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 14:23:01 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sat Nov 07 14:28:07 GMT+00:00 2015,0,0
