Client Count CSCI B-03
Generated: 2015-Nov-06, 16:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Fri Nov 06 15:30:45 GMT+00:00 2015,53,53
total,Fri Nov 06 15:35:50 GMT+00:00 2015,49,49
total,Fri Nov 06 15:40:57 GMT+00:00 2015,47,47
total,Fri Nov 06 15:46:08 GMT+00:00 2015,45,45
total,Fri Nov 06 15:51:09 GMT+00:00 2015,42,41
total,Fri Nov 06 15:56:10 GMT+00:00 2015,40,38
total,Fri Nov 06 16:01:17 GMT+00:00 2015,24,24
total,Fri Nov 06 16:06:12 GMT+00:00 2015,24,24
total,Fri Nov 06 16:11:16 GMT+00:00 2015,19,19
total,Fri Nov 06 16:16:10 GMT+00:00 2015,23,23
total,Fri Nov 06 16:21:15 GMT+00:00 2015,16,16
total,Fri Nov 06 16:26:12 GMT+00:00 2015,16,16
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Fri Nov 06 15:30:45 GMT+00:00 2015,53,53
Belfield > Computer Science > B-003,Fri Nov 06 15:35:50 GMT+00:00 2015,49,49
Belfield > Computer Science > B-003,Fri Nov 06 15:40:57 GMT+00:00 2015,47,47
Belfield > Computer Science > B-003,Fri Nov 06 15:46:08 GMT+00:00 2015,45,45
Belfield > Computer Science > B-003,Fri Nov 06 15:51:09 GMT+00:00 2015,42,41
Belfield > Computer Science > B-003,Fri Nov 06 15:56:10 GMT+00:00 2015,40,38
Belfield > Computer Science > B-003,Fri Nov 06 16:01:17 GMT+00:00 2015,24,24
Belfield > Computer Science > B-003,Fri Nov 06 16:06:12 GMT+00:00 2015,24,24
Belfield > Computer Science > B-003,Fri Nov 06 16:11:16 GMT+00:00 2015,19,19
Belfield > Computer Science > B-003,Fri Nov 06 16:16:10 GMT+00:00 2015,23,23
Belfield > Computer Science > B-003,Fri Nov 06 16:21:15 GMT+00:00 2015,16,16
Belfield > Computer Science > B-003,Fri Nov 06 16:26:12 GMT+00:00 2015,16,16
