Client Count CSCI B-04
Generated: 2015-Nov-11, 22:30:04 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Wed Nov 11 21:34:08 GMT+00:00 2015,0,0
total,Wed Nov 11 21:39:10 GMT+00:00 2015,0,0
total,Wed Nov 11 21:44:08 GMT+00:00 2015,0,0
total,Wed Nov 11 21:49:11 GMT+00:00 2015,0,0
total,Wed Nov 11 21:54:11 GMT+00:00 2015,0,0
total,Wed Nov 11 21:59:27 GMT+00:00 2015,0,0
total,Wed Nov 11 22:04:38 GMT+00:00 2015,0,0
total,Wed Nov 11 22:09:35 GMT+00:00 2015,1,1
total,Wed Nov 11 22:14:51 GMT+00:00 2015,0,0
total,Wed Nov 11 22:19:44 GMT+00:00 2015,0,0
total,Wed Nov 11 22:24:49 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Wed Nov 11 21:34:08 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 21:39:10 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 21:44:08 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 21:49:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 21:54:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 21:59:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 22:04:38 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 22:09:35 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 11 22:14:51 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 22:19:44 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Wed Nov 11 22:24:49 GMT+00:00 2015,0,0
