Client Count CSCI B-04
Generated: 2015-Nov-13, 12:30:02 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Fri Nov 13 11:34:13 GMT+00:00 2015,34,34
total,Fri Nov 13 11:39:25 GMT+00:00 2015,37,37
total,Fri Nov 13 11:44:06 GMT+00:00 2015,36,36
total,Fri Nov 13 11:49:20 GMT+00:00 2015,37,37
total,Fri Nov 13 11:54:36 GMT+00:00 2015,38,37
total,Fri Nov 13 12:00:04 GMT+00:00 2015,18,18
total,Fri Nov 13 12:04:58 GMT+00:00 2015,4,4
total,Fri Nov 13 12:09:51 GMT+00:00 2015,1,1
total,Fri Nov 13 12:14:44 GMT+00:00 2015,1,1
total,Fri Nov 13 12:19:41 GMT+00:00 2015,3,3
total,Fri Nov 13 12:25:21 GMT+00:00 2015,5,5
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Fri Nov 13 11:34:13 GMT+00:00 2015,34,34
Belfield > Computer Science > B-004,Fri Nov 13 11:39:25 GMT+00:00 2015,37,37
Belfield > Computer Science > B-004,Fri Nov 13 11:44:06 GMT+00:00 2015,36,36
Belfield > Computer Science > B-004,Fri Nov 13 11:49:20 GMT+00:00 2015,37,37
Belfield > Computer Science > B-004,Fri Nov 13 11:54:36 GMT+00:00 2015,38,37
Belfield > Computer Science > B-004,Fri Nov 13 12:00:04 GMT+00:00 2015,18,18
Belfield > Computer Science > B-004,Fri Nov 13 12:04:58 GMT+00:00 2015,4,4
Belfield > Computer Science > B-004,Fri Nov 13 12:09:51 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Fri Nov 13 12:14:44 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Fri Nov 13 12:19:41 GMT+00:00 2015,3,3
Belfield > Computer Science > B-004,Fri Nov 13 12:25:21 GMT+00:00 2015,5,5
