Client Count CSCI B-04
Generated: 2015-Nov-05, 07:30:02 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Thu Nov 05 06:34:29 GMT+00:00 2015,0,0
total,Thu Nov 05 06:39:25 GMT+00:00 2015,0,0
total,Thu Nov 05 06:44:28 GMT+00:00 2015,0,0
total,Thu Nov 05 06:49:30 GMT+00:00 2015,0,0
total,Thu Nov 05 06:54:41 GMT+00:00 2015,0,0
total,Thu Nov 05 06:59:36 GMT+00:00 2015,0,0
total,Thu Nov 05 07:04:42 GMT+00:00 2015,0,0
total,Thu Nov 05 07:09:41 GMT+00:00 2015,0,0
total,Thu Nov 05 07:14:43 GMT+00:00 2015,0,0
total,Thu Nov 05 07:19:49 GMT+00:00 2015,0,0
total,Thu Nov 05 07:24:50 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Thu Nov 05 06:34:29 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 06:39:25 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 06:44:28 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 06:49:30 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 06:54:41 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 06:59:36 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 07:04:42 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 07:09:41 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 07:14:43 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 07:19:49 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 07:24:50 GMT+00:00 2015,0,0
