Client Count CSCI B-04
Generated: 2015-Nov-14, 01:30:05 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Sat Nov 14 00:34:02 GMT+00:00 2015,0,0
total,Sat Nov 14 00:39:01 GMT+00:00 2015,0,0
total,Sat Nov 14 00:44:11 GMT+00:00 2015,0,0
total,Sat Nov 14 00:49:07 GMT+00:00 2015,0,0
total,Sat Nov 14 00:54:17 GMT+00:00 2015,0,0
total,Sat Nov 14 01:03:07 GMT+00:00 2015,0,0
total,Sat Nov 14 01:09:22 GMT+00:00 2015,0,0
total,Sat Nov 14 01:14:14 GMT+00:00 2015,0,0
total,Sat Nov 14 01:19:11 GMT+00:00 2015,0,0
total,Sat Nov 14 01:24:10 GMT+00:00 2015,0,0
total,Sat Nov 14 01:29:11 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Sat Nov 14 00:34:02 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 00:39:01 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 00:44:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 00:49:07 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 00:54:17 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 01:03:07 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 01:09:22 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 01:14:14 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 01:19:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 01:24:10 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Sat Nov 14 01:29:11 GMT+00:00 2015,0,0
