Client Count CSCI B-03
Generated: 2015-Nov-09, 09:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Mon Nov 09 08:32:37 GMT+00:00 2015,0,0
total,Mon Nov 09 08:37:40 GMT+00:00 2015,0,0
total,Mon Nov 09 08:42:51 GMT+00:00 2015,0,0
total,Mon Nov 09 08:48:02 GMT+00:00 2015,2,2
total,Mon Nov 09 08:53:20 GMT+00:00 2015,2,2
total,Mon Nov 09 08:58:35 GMT+00:00 2015,5,5
total,Mon Nov 09 09:03:44 GMT+00:00 2015,9,9
total,Mon Nov 09 09:08:34 GMT+00:00 2015,16,16
total,Mon Nov 09 09:13:32 GMT+00:00 2015,26,26
total,Mon Nov 09 09:18:34 GMT+00:00 2015,27,27
total,Mon Nov 09 09:23:37 GMT+00:00 2015,29,29
total,Mon Nov 09 09:28:43 GMT+00:00 2015,30,30
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Mon Nov 09 08:32:37 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 08:37:40 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 08:42:51 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 08:48:02 GMT+00:00 2015,2,2
Belfield > Computer Science > B-003,Mon Nov 09 08:53:20 GMT+00:00 2015,2,2
Belfield > Computer Science > B-003,Mon Nov 09 08:58:35 GMT+00:00 2015,5,5
Belfield > Computer Science > B-003,Mon Nov 09 09:03:44 GMT+00:00 2015,9,9
Belfield > Computer Science > B-003,Mon Nov 09 09:08:34 GMT+00:00 2015,16,16
Belfield > Computer Science > B-003,Mon Nov 09 09:13:32 GMT+00:00 2015,26,26
Belfield > Computer Science > B-003,Mon Nov 09 09:18:34 GMT+00:00 2015,27,27
Belfield > Computer Science > B-003,Mon Nov 09 09:23:37 GMT+00:00 2015,29,29
Belfield > Computer Science > B-003,Mon Nov 09 09:28:43 GMT+00:00 2015,30,30
