Client Count CSCI B-03
Generated: 2015-Nov-03, 19:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Tue Nov 03 18:31:25 GMT+00:00 2015,2,2
total,Tue Nov 03 18:36:35 GMT+00:00 2015,1,1
total,Tue Nov 03 18:41:32 GMT+00:00 2015,1,1
total,Tue Nov 03 18:46:32 GMT+00:00 2015,1,1
total,Tue Nov 03 18:51:33 GMT+00:00 2015,1,1
total,Tue Nov 03 18:56:39 GMT+00:00 2015,1,1
total,Tue Nov 03 19:01:46 GMT+00:00 2015,1,1
total,Tue Nov 03 19:06:49 GMT+00:00 2015,0,0
total,Tue Nov 03 19:11:49 GMT+00:00 2015,0,0
total,Tue Nov 03 19:16:44 GMT+00:00 2015,0,0
total,Tue Nov 03 19:21:50 GMT+00:00 2015,0,0
total,Tue Nov 03 19:26:49 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Tue Nov 03 18:31:25 GMT+00:00 2015,2,2
Belfield > Computer Science > B-003,Tue Nov 03 18:36:35 GMT+00:00 2015,1,1
Belfield > Computer Science > B-003,Tue Nov 03 18:41:32 GMT+00:00 2015,1,1
Belfield > Computer Science > B-003,Tue Nov 03 18:46:32 GMT+00:00 2015,1,1
Belfield > Computer Science > B-003,Tue Nov 03 18:51:33 GMT+00:00 2015,1,1
Belfield > Computer Science > B-003,Tue Nov 03 18:56:39 GMT+00:00 2015,1,1
Belfield > Computer Science > B-003,Tue Nov 03 19:01:46 GMT+00:00 2015,1,1
Belfield > Computer Science > B-003,Tue Nov 03 19:06:49 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 19:11:49 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 19:16:44 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 19:21:50 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 19:26:49 GMT+00:00 2015,0,0
