Client Count CSCI B-03
Generated: 2015-Nov-05, 12:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Thu Nov 05 11:34:41 GMT+00:00 2015,21,21
total,Thu Nov 05 11:45:51 GMT+00:00 2015,25,25
total,Thu Nov 05 11:50:02 GMT+00:00 2015,21,21
total,Thu Nov 05 11:55:44 GMT+00:00 2015,22,22
total,Thu Nov 05 12:01:12 GMT+00:00 2015,29,29
total,Thu Nov 05 12:06:20 GMT+00:00 2015,47,47
total,Thu Nov 05 12:10:50 GMT+00:00 2015,52,52
total,Thu Nov 05 12:15:38 GMT+00:00 2015,50,50
total,Thu Nov 05 12:20:33 GMT+00:00 2015,44,43
total,Thu Nov 05 12:25:33 GMT+00:00 2015,45,45
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Thu Nov 05 11:34:41 GMT+00:00 2015,21,21
Belfield > Computer Science > B-003,Thu Nov 05 11:45:51 GMT+00:00 2015,25,25
Belfield > Computer Science > B-003,Thu Nov 05 11:50:02 GMT+00:00 2015,21,21
Belfield > Computer Science > B-003,Thu Nov 05 11:55:44 GMT+00:00 2015,22,22
Belfield > Computer Science > B-003,Thu Nov 05 12:01:12 GMT+00:00 2015,29,29
Belfield > Computer Science > B-003,Thu Nov 05 12:06:20 GMT+00:00 2015,47,47
Belfield > Computer Science > B-003,Thu Nov 05 12:10:50 GMT+00:00 2015,52,52
Belfield > Computer Science > B-003,Thu Nov 05 12:15:38 GMT+00:00 2015,50,50
Belfield > Computer Science > B-003,Thu Nov 05 12:20:33 GMT+00:00 2015,44,43
Belfield > Computer Science > B-003,Thu Nov 05 12:25:33 GMT+00:00 2015,45,45
