Client Count CSCI B-04
Generated: 2015-Nov-12, 22:30:03 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Thu Nov 12 21:34:27 GMT+00:00 2015,0,0
total,Thu Nov 12 21:39:25 GMT+00:00 2015,0,0
total,Thu Nov 12 21:44:28 GMT+00:00 2015,0,0
total,Thu Nov 12 21:49:27 GMT+00:00 2015,0,0
total,Thu Nov 12 21:54:31 GMT+00:00 2015,0,0
total,Thu Nov 12 21:59:29 GMT+00:00 2015,0,0
total,Thu Nov 12 22:04:35 GMT+00:00 2015,0,0
total,Thu Nov 12 22:10:09 GMT+00:00 2015,0,0
total,Thu Nov 12 22:14:52 GMT+00:00 2015,0,0
total,Thu Nov 12 22:19:42 GMT+00:00 2015,0,0
total,Thu Nov 12 22:24:43 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Thu Nov 12 21:34:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 21:39:25 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 21:44:28 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 21:49:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 21:54:31 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 21:59:29 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 22:04:35 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 22:10:09 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 22:14:52 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 22:19:42 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 22:24:43 GMT+00:00 2015,0,0
