Client Count CSCI B-02
Generated: 2015-Nov-13, 11:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Fri Nov 13 10:32:52 GMT+00:00 2015,9,9
total,Fri Nov 13 10:38:05 GMT+00:00 2015,8,8
total,Fri Nov 13 10:43:09 GMT+00:00 2015,7,7
total,Fri Nov 13 10:48:24 GMT+00:00 2015,15,15
total,Fri Nov 13 10:54:19 GMT+00:00 2015,17,17
total,Fri Nov 13 11:05:01 GMT+00:00 2015,19,19
total,Fri Nov 13 11:09:28 GMT+00:00 2015,13,13
total,Fri Nov 13 11:14:02 GMT+00:00 2015,13,13
total,Fri Nov 13 11:18:58 GMT+00:00 2015,12,12
total,Fri Nov 13 11:23:59 GMT+00:00 2015,11,11
total,Fri Nov 13 11:29:02 GMT+00:00 2015,10,10
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Fri Nov 13 10:32:52 GMT+00:00 2015,9,9
Belfield > Computer Science > B-002,Fri Nov 13 10:38:05 GMT+00:00 2015,8,8
Belfield > Computer Science > B-002,Fri Nov 13 10:43:09 GMT+00:00 2015,7,7
Belfield > Computer Science > B-002,Fri Nov 13 10:48:24 GMT+00:00 2015,15,15
Belfield > Computer Science > B-002,Fri Nov 13 10:54:19 GMT+00:00 2015,17,17
Belfield > Computer Science > B-002,Fri Nov 13 11:05:01 GMT+00:00 2015,19,19
Belfield > Computer Science > B-002,Fri Nov 13 11:09:28 GMT+00:00 2015,13,13
Belfield > Computer Science > B-002,Fri Nov 13 11:14:02 GMT+00:00 2015,13,13
Belfield > Computer Science > B-002,Fri Nov 13 11:18:58 GMT+00:00 2015,12,12
Belfield > Computer Science > B-002,Fri Nov 13 11:23:59 GMT+00:00 2015,11,11
Belfield > Computer Science > B-002,Fri Nov 13 11:29:02 GMT+00:00 2015,10,10
