Client Count CSCI B-04
Generated: 2015-Nov-05, 17:30:02 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Thu Nov 05 16:30:17 GMT+00:00 2015,0,0
total,Thu Nov 05 16:35:20 GMT+00:00 2015,0,0
total,Thu Nov 05 16:40:28 GMT+00:00 2015,0,0
total,Thu Nov 05 16:45:28 GMT+00:00 2015,0,0
total,Thu Nov 05 16:50:30 GMT+00:00 2015,0,0
total,Thu Nov 05 16:55:46 GMT+00:00 2015,0,0
total,Thu Nov 05 17:01:01 GMT+00:00 2015,0,0
total,Thu Nov 05 17:06:15 GMT+00:00 2015,1,1
total,Thu Nov 05 17:10:57 GMT+00:00 2015,0,0
total,Thu Nov 05 17:15:51 GMT+00:00 2015,0,0
total,Thu Nov 05 17:20:52 GMT+00:00 2015,0,0
total,Thu Nov 05 17:25:49 GMT+00:00 2015,1,1
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Thu Nov 05 16:30:17 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 16:35:20 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 16:40:28 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 16:45:28 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 16:50:30 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 16:55:46 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 17:01:01 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 17:06:15 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Thu Nov 05 17:10:57 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 17:15:51 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 17:20:52 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 05 17:25:49 GMT+00:00 2015,1,1
