Client Count CSCI B-02
Generated: 2015-Nov-11, 23:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Wed Nov 11 22:34:54 GMT+00:00 2015,0,0
total,Wed Nov 11 22:40:10 GMT+00:00 2015,0,0
total,Wed Nov 11 22:45:14 GMT+00:00 2015,0,0
total,Wed Nov 11 22:50:09 GMT+00:00 2015,0,0
total,Wed Nov 11 22:55:09 GMT+00:00 2015,0,0
total,Wed Nov 11 23:00:13 GMT+00:00 2015,0,0
total,Wed Nov 11 23:05:11 GMT+00:00 2015,0,0
total,Wed Nov 11 23:10:10 GMT+00:00 2015,0,0
total,Wed Nov 11 23:15:13 GMT+00:00 2015,0,0
total,Wed Nov 11 23:20:09 GMT+00:00 2015,0,0
total,Wed Nov 11 23:25:14 GMT+00:00 2015,0,0
total,Wed Nov 11 23:29:24 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Wed Nov 11 22:34:54 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 22:40:10 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 22:45:14 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 22:50:09 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 22:55:09 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 23:00:13 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 23:05:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 23:10:10 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 23:15:13 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 23:20:09 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 23:25:14 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 23:29:24 GMT+00:00 2015,0,0
