Client Count CSCI B-02
Generated: 2015-Nov-11, 20:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Wed Nov 11 19:33:23 GMT+00:00 2015,0,0
total,Wed Nov 11 19:38:34 GMT+00:00 2015,0,0
total,Wed Nov 11 19:43:36 GMT+00:00 2015,0,0
total,Wed Nov 11 19:48:29 GMT+00:00 2015,0,0
total,Wed Nov 11 19:53:35 GMT+00:00 2015,0,0
total,Wed Nov 11 19:58:48 GMT+00:00 2015,1,1
total,Wed Nov 11 20:03:39 GMT+00:00 2015,1,1
total,Wed Nov 11 20:08:38 GMT+00:00 2015,1,1
total,Wed Nov 11 20:13:39 GMT+00:00 2015,1,1
total,Wed Nov 11 20:18:44 GMT+00:00 2015,0,0
total,Wed Nov 11 20:23:54 GMT+00:00 2015,1,1
total,Wed Nov 11 20:28:51 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Wed Nov 11 19:33:23 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 19:38:34 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 19:43:36 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 19:48:29 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 19:53:35 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 19:58:48 GMT+00:00 2015,1,1
Belfield > Computer Science > B-002,Wed Nov 11 20:03:39 GMT+00:00 2015,1,1
Belfield > Computer Science > B-002,Wed Nov 11 20:08:38 GMT+00:00 2015,1,1
Belfield > Computer Science > B-002,Wed Nov 11 20:13:39 GMT+00:00 2015,1,1
Belfield > Computer Science > B-002,Wed Nov 11 20:18:44 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Wed Nov 11 20:23:54 GMT+00:00 2015,1,1
Belfield > Computer Science > B-002,Wed Nov 11 20:28:51 GMT+00:00 2015,0,0
