Client Count CSCI B-02
Generated: 2015-Nov-15, 10:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Sun Nov 15 09:31:15 GMT+00:00 2015,0,0
total,Sun Nov 15 09:36:11 GMT+00:00 2015,0,0
total,Sun Nov 15 09:41:15 GMT+00:00 2015,0,0
total,Sun Nov 15 09:46:18 GMT+00:00 2015,0,0
total,Sun Nov 15 09:51:18 GMT+00:00 2015,0,0
total,Sun Nov 15 09:56:21 GMT+00:00 2015,0,0
total,Sun Nov 15 10:01:23 GMT+00:00 2015,0,0
total,Sun Nov 15 10:06:37 GMT+00:00 2015,0,0
total,Sun Nov 15 10:11:24 GMT+00:00 2015,0,0
total,Sun Nov 15 10:16:26 GMT+00:00 2015,0,0
total,Sun Nov 15 10:21:25 GMT+00:00 2015,0,0
total,Sun Nov 15 10:26:31 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Sun Nov 15 09:31:15 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 09:36:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 09:41:15 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 09:46:18 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 09:51:18 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 09:56:21 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 10:01:23 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 10:06:37 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 10:11:24 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 10:16:26 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 10:21:25 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Sun Nov 15 10:26:31 GMT+00:00 2015,0,0
